date,saham,volume
2021-08-16,ACES,15861300.0
2021-08-18,ACES,12563300.0
2021-08-19,ACES,6932500.0
2021-08-20,ACES,6461200.0
2021-08-23,ACES,5063400.0
2021-08-24,ACES,3679800.0
2021-08-25,ACES,3673300.0
2021-08-26,ACES,10677200.0
2021-08-27,ACES,7732700.0
2021-08-30,ACES,15522100.0
2021-08-31,ACES,16439800.0
2021-09-01,ACES,11433000.0
2021-09-02,ACES,5538700.0
2021-09-03,ACES,7830400.0
2021-09-06,ACES,11713700.0
2021-09-07,ACES,6032800.0
2021-09-08,ACES,8264800.0
2021-09-09,ACES,7197800.0
2021-09-10,ACES,6538700.0
2021-09-13,ACES,3300800.0
2021-09-14,ACES,9725900.0
2021-09-15,ACES,5958400.0
2021-09-16,ACES,4368300.0
2021-09-17,ACES,16531100.0
2021-09-20,ACES,11236300.0
2021-09-21,ACES,8764600.0
2021-09-22,ACES,18952600.0
2021-09-23,ACES,11065800.0
2021-09-24,ACES,18472100.0
2021-09-27,ACES,22574000.0
2021-09-28,ACES,25040800.0
2021-09-29,ACES,17073800.0
2021-09-30,ACES,19385400.0
2021-10-01,ACES,26130200.0
2021-10-04,ACES,84265700.0
2021-10-05,ACES,67125600.0
2021-10-06,ACES,78232700.0
2021-10-07,ACES,50569100.0
2021-10-08,ACES,40264100.0
2021-10-11,ACES,34871900.0
2021-10-12,ACES,32744500.0
2021-10-13,ACES,12486600.0
2021-10-14,ACES,22294500.0
2021-10-15,ACES,16724600.0
2021-10-18,ACES,33117700.0
2021-10-19,ACES,13454600.0
2021-10-21,ACES,25126200.0
2021-10-22,ACES,22040100.0
2021-10-25,ACES,5435000.0
2021-10-26,ACES,5142300.0
2021-10-27,ACES,8965300.0
2021-10-28,ACES,21993100.0
2021-10-29,ACES,5849600.0
2021-11-01,ACES,8648600.0
2021-11-02,ACES,5084800.0
2021-11-03,ACES,6140400.0
2021-11-04,ACES,11242200.0
2021-11-05,ACES,17665300.0
2021-11-08,ACES,7199800.0
2021-11-09,ACES,10850000.0
2021-11-10,ACES,8230000.0
2021-11-11,ACES,15675200.0
2021-11-12,ACES,6307600.0
2021-11-15,ACES,7302300.0
2021-11-16,ACES,16659800.0
2021-11-17,ACES,26323900.0
2021-11-18,ACES,25066500.0
2021-11-19,ACES,8655800.0
2021-11-22,ACES,15320500.0
2021-11-23,ACES,14161000.0
2021-11-24,ACES,17800500.0
2021-11-25,ACES,9067900.0
2021-11-26,ACES,12972000.0
2021-11-29,ACES,17854000.0
2021-11-30,ACES,26470400.0
2021-12-01,ACES,22510500.0
2021-12-02,ACES,61418700.0
2021-12-03,ACES,40159700.0
2021-12-06,ACES,44248200.0
2021-12-07,ACES,23302900.0
2021-12-08,ACES,14169000.0
2021-12-09,ACES,4439000.0
2021-12-10,ACES,12268900.0
2021-12-13,ACES,18700600.0
2021-12-14,ACES,26519400.0
2021-12-15,ACES,23305400.0
2021-12-16,ACES,13602700.0
2021-12-17,ACES,18490200.0
2021-12-20,ACES,13891700.0
2021-12-21,ACES,6453900.0
2021-12-22,ACES,2633900.0
2021-12-23,ACES,4465400.0
2021-12-24,ACES,4420600.0
2021-12-27,ACES,4113200.0
2021-12-28,ACES,2798200.0
2021-12-29,ACES,5585600.0
2021-12-30,ACES,11381700.0
2022-01-03,ACES,27012200.0
2022-01-04,ACES,7787000.0
2022-01-05,ACES,19845200.0
2022-01-06,ACES,10075900.0
2022-01-07,ACES,12395900.0
2022-01-10,ACES,6833000.0
2022-01-11,ACES,11271400.0
2022-01-12,ACES,17672800.0
2022-01-13,ACES,12094400.0
2022-01-14,ACES,6066100.0
2022-01-17,ACES,4047100.0
2022-01-18,ACES,6830700.0
2022-01-19,ACES,7090100.0
2022-01-20,ACES,9791200.0
2022-01-21,ACES,13380600.0
2022-01-24,ACES,7732300.0
2022-01-25,ACES,22408600.0
2022-01-26,ACES,34826700.0
2022-01-27,ACES,19416700.0
2022-01-28,ACES,9132800.0
2022-01-31,ACES,16381600.0
2022-02-02,ACES,17882300.0
2022-02-03,ACES,5468100.0
2022-02-04,ACES,7475200.0
2022-02-07,ACES,8843500.0
2022-02-08,ACES,15639200.0
2022-02-09,ACES,14224600.0
2022-02-10,ACES,12234000.0
2022-02-11,ACES,6243700.0
2022-02-14,ACES,6388400.0
2022-02-15,ACES,10447300.0
2022-02-16,ACES,12254700.0
2022-02-17,ACES,17598400.0
2022-02-18,ACES,13044800.0
2022-02-21,ACES,33571000.0
2022-02-22,ACES,58768100.0
2022-02-23,ACES,54638000.0
2022-02-24,ACES,75401200.0
2022-02-25,ACES,49409400.0
2022-03-01,ACES,42862500.0
2022-03-02,ACES,36883600.0
2022-03-04,ACES,30759300.0
2022-03-07,ACES,64200600.0
2022-03-08,ACES,53773400.0
2022-03-09,ACES,39435900.0
2022-03-10,ACES,79470300.0
2022-03-11,ACES,33822500.0
2022-03-14,ACES,15476800.0
2022-03-15,ACES,47157500.0
2022-03-16,ACES,25575000.0
2022-03-17,ACES,32347000.0
2022-03-18,ACES,51321700.0
2022-03-21,ACES,49666900.0
2022-03-22,ACES,38240600.0
2022-03-23,ACES,52144600.0
2022-03-24,ACES,64482000.0
2022-03-25,ACES,34041600.0
2022-03-28,ACES,19443600.0
2022-03-29,ACES,23489900.0
2022-03-30,ACES,56223800.0
2022-03-31,ACES,22636900.0
2022-04-01,ACES,68685200.0
2022-04-04,ACES,43640900.0
2022-04-05,ACES,23696400.0
2022-04-06,ACES,24478900.0
2022-04-07,ACES,35223900.0
2022-04-08,ACES,28082300.0
2022-04-11,ACES,26486600.0
2022-04-12,ACES,102481400.0
2022-04-13,ACES,58511500.0
2022-04-14,ACES,48269100.0
2022-04-18,ACES,32642300.0
2022-04-19,ACES,98108800.0
2022-04-20,ACES,54624200.0
2022-04-21,ACES,33917100.0
2022-04-22,ACES,34371700.0
2022-04-25,ACES,31924400.0
2022-04-26,ACES,19890700.0
2022-04-27,ACES,12938600.0
2022-04-28,ACES,21339600.0
2022-05-09,ACES,46862900.0
2022-05-10,ACES,44133700.0
2022-05-11,ACES,31372000.0
2022-05-12,ACES,26915200.0
2022-05-13,ACES,44009500.0
2022-05-17,ACES,22636400.0
2022-05-18,ACES,12730600.0
2022-05-19,ACES,57325100.0
2022-05-20,ACES,28523200.0
2022-05-23,ACES,65782100.0
2022-05-24,ACES,54277700.0
2022-05-25,ACES,28218600.0
2022-05-27,ACES,30728200.0
